typeinstance , nbvar , t1 , t2
11 , 20 , 0.000844582 , 0.001493918
11 , 20 , 0.00052178 , 0.001052546
11 , 20 , 0.001833825 , 0.003057545
11 , 20 , 5.5195e-5 , 9.9556e-5
11 , 20 , 0.000279498 , 0.00060933
11 , 50 , 0.025521453 , 0.055464581
11 , 50 , 0.335952288 , 0.827124501
11 , 50 , 0.11568955 , 0.26417457
11 , 50 , 4.1915e-5 , 7.7011e-5
11 , 50 , 3.9066e-5 , 8.0443e-5
12 , 20 , 4.3201e-5 , 6.3715e-5
12 , 20 , 0.000310188 , 0.000526357
12 , 20 , 0.001799295 , 0.005911592
12 , 20 , 0.008133355 , 0.014341967
12 , 20 , 7.6453e-5 , 0.000142172
12 , 50 , 0.000130104 , 0.000288078
12 , 50 , 6.1892e-5 , 0.000128695
12 , 50 , 0.451847806 , 0.987942525
12 , 50 , 0.260223651 , 0.613240316
12 , 50 , 0.023023177 , 0.0498521
13 , 20 , 0.000115546 , 0.000174255
13 , 20 , 0.004385611 , 0.009888417
13 , 20 , 0.000419509 , 0.000928782
13 , 20 , 0.001032126 , 0.002500833
13 , 20 , 0.000721243 , 0.001593928
13 , 50 , 1.414320836 , 3.328525728
13 , 50 , 2.818627402 , 5.982967579
13 , 50 , 0.020007704 , 0.05662168
13 , 50 , 0.046586839 , 0.117127
13 , 50 , 0.230579397 , 0.549070071
14 , 20 , 0.000732514 , 0.001659587
14 , 20 , 0.000193072 , 0.000346759
14 , 20 , 0.00028974 , 0.000598592
14 , 20 , 0.000156215 , 0.000306507
14 , 20 , 0.000195584 , 0.000357671
14 , 50 , 9.9917e-5 , 0.000178174
14 , 50 , 0.00010515 , 0.000173729
14 , 50 , 0.000139232 , 0.000276699
14 , 50 , 0.000146277 , 0.000288354
14 , 50 , 0.000742587 , 0.001706238
15 , 20 , 0.000412796 , 0.00095094
15 , 20 , 0.000692632 , 0.00157
15 , 20 , 0.000841196 , 0.001772933
15 , 20 , 0.0010768 , 0.002221586
15 , 20 , 0.001008363 , 0.002066977
15 , 50 , 0.004258266 , 0.010477102
15 , 50 , 0.000284169 , 0.000674272
15 , 50 , 0.001068284 , 0.002635198
15 , 50 , 0.000844121 , 0.001774221
15 , 50 , 0.003904583 , 0.006411234
16 , 20 , 0.000402224 , 0.000881907
16 , 20 , 0.00010247 , 0.000201563
16 , 20 , 0.000504642 , 0.001037625
16 , 20 , 9.5712e-5 , 0.000161786
16 , 20 , 0.000160131 , 0.000153522
16 , 50 , 0.000134901 , 0.000207579
16 , 50 , 6.98e-5 , 0.000131066
16 , 50 , 0.00015065 , 0.000313617
16 , 50 , 0.000485883 , 0.001096756
16 , 50 , 0.000591929 , 0.001413192
